run_date,code,name,alias,action,reason,confidence,sources,seen_count
2026-08-12,5819,カナレ電気,カナレ電気,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,5820,三ッ星,三ッ星,skip,duplicate,high,"kabutan,nikkei,tdnet",13
2026-08-12,5821,平河ヒューテック,平河ヒューテ,skip,duplicate,high,"kabutan,tdnet",14
2026-08-12,5821,平河ヒューテック,平河ヒューテック,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5830,いよぎんﾎｰﾙﾃﾞｨﾝｸﾞｽ,いよぎんHD,skip,duplicate,high,"kabutan,tdnet",8
2026-08-12,5830,いよぎんﾎｰﾙﾃﾞｨﾝｸﾞｽ,いよぎんホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5831,しずおかフィナンシャルｸﾞﾙｰﾌﾟ,しずおかFG,skip,duplicate,high,"kabutan,tdnet",12
2026-08-12,5831,しずおかフィナンシャルｸﾞﾙｰﾌﾟ,しずおかフィナンシャルグループ,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5832,ちゅうぎんフィナンシャルｸﾞﾙｰﾌﾟ,ちゅうぎんフィナンシャルグループ,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5832,ちゅうぎんフィナンシャルｸﾞﾙｰﾌﾟ,ちゅうぎんF,skip,duplicate,high,kabutan,3
2026-08-12,5832,ちゅうぎんフィナンシャルｸﾞﾙｰﾌﾟ,ちゅうぎんFG,skip,duplicate,high,tdnet,2
2026-08-12,5834,SBIリーシングサービス,SBIリーシング,skip,duplicate,high,tdnet,9
2026-08-12,5834,SBIリーシングサービス,SBIリーシングサービス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5834,SBIリーシングサービス,SBIリーシ,skip,duplicate,high,kabutan,3
2026-08-12,5838,楽天銀行,楽天銀行,skip,duplicate,high,"kabutan,nikkei,tdnet",23
2026-08-12,5838,楽天銀行,楽天銀,skip,duplicate,high,kabutan,3
2026-08-12,5842,インテグラル,インテグラル,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,5843,ニッポンインシュア,ニッポンインシュア,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5843,ニッポンインシュア,インシュア,skip,duplicate,high,kabutan,3
2026-08-12,5844,京都フィナンシャルｸﾞﾙｰﾌﾟ,京都FG,skip,duplicate,high,"kabutan,tdnet",13
2026-08-12,5844,京都フィナンシャルｸﾞﾙｰﾌﾟ,京都フィナンシャルグループ,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5845,全保連,全保連,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5851,リョービ,リョービ,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,5852,アーレスティ,アーレスティ,skip,duplicate,high,"kabutan,nikkei,tdnet",16
2026-08-12,5856,エルアイイーエイチ,エルアイイーエイチ,skip,duplicate,high,kabutan,13
2026-08-12,5856,エルアイイーエイチ,LIEH,skip,duplicate,high,kabutan,3
2026-08-12,5857,AREﾎｰﾙﾃﾞｨﾝｸﾞｽ,AREホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5857,AREﾎｰﾙﾃﾞｨﾝｸﾞｽ,AREHD,skip,duplicate,high,"kabutan,tdnet",5
2026-08-12,5858,STG,STG,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5867,エスネットワークス,エスネット,skip,duplicate,high,kabutan,10
2026-08-12,5867,エスネットワークス,エスネットワークス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5868,ロココ,ロココ,skip,duplicate,high,"kabutan,nikkei",10
2026-08-12,5869,早稲田学習研究会,早稲田学習研究会,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5869,早稲田学習研究会,早稲田学習研,skip,duplicate,high,kabutan,3
2026-08-12,5870,ナルネットコミュニケーションズ,ナルネット,skip,duplicate,high,"kabutan,tdnet",10
2026-08-12,5870,ナルネットコミュニケーションズ,ナルネットコミュニケーションズ,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5871,SOLIZE Holdings,SOLIZE Holdings,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5871,SOLIZE Holdings,SOLIZE HD,skip,duplicate,high,tdnet,4
2026-08-12,5871,SOLIZE Holdings,SOLIZE,skip,duplicate,high,kabutan,3
2026-08-12,5884,クラダシ,クラダシ,skip,duplicate,high,"kabutan,nikkei,tdnet",22
2026-08-12,5885,ジーデップ・アドバンス,ジーデップ・アドバンス,skip,duplicate,high,"kabutan,nikkei,tdnet",14
2026-08-12,5885,ジーデップ・アドバンス,ジーデップ,skip,duplicate,high,kabutan,3
2026-08-12,5888,DAIWA CYCLE,ダイワサイクル,skip,duplicate,high,tdnet,8
2026-08-12,5888,DAIWA CYCLE,DAIWA CYCLE,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5888,DAIWA CYCLE,Dサイクル,skip,duplicate,high,kabutan,3
2026-08-12,5889,Japan Eyewear Holdings,JEH,skip,duplicate,high,kabutan,7
2026-08-12,5889,Japan Eyewear Holdings,Japan Eyewear Holdings,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5891,魁力屋,SAKIGAKEホールディングス,skip,duplicate,high,"kabutan,nikkei",4
2026-08-12,5891,魁力屋,SAKIGAKE,skip,duplicate,high,tdnet,2
2026-08-12,5891,魁力屋,サキガケHD,skip,duplicate,high,kabutan,2
2026-08-12,5892,yutori,yutori,skip,duplicate,high,"kabutan,nikkei",17
2026-08-12,5892,yutori,ユトリ,skip,duplicate,high,kabutan,3
2026-08-12,5900,ダイケン,ダイケン,skip,duplicate,high,"kabutan,nikkei,tdnet",7
2026-08-12,5901,東洋製罐ｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ,洋缶HD,skip,duplicate,high,"kabutan,tdnet",13
2026-08-12,5901,東洋製罐ｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ,東洋製缶グループホールディングス,skip,duplicate,high,nikkei,3
2026-08-12,5901,東洋製罐ｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ,東洋製罐グループホールディングス,skip,duplicate,high,kabutan,3
2026-08-12,5902,ホッカンﾎｰﾙﾃﾞｨﾝｸﾞｽ,ホッカンHD,skip,duplicate,high,"kabutan,tdnet",9
2026-08-12,5902,ホッカンﾎｰﾙﾃﾞｨﾝｸﾞｽ,ホッカンホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5903,シンポ,SHINPO,skip,duplicate,high,"kabutan,tdnet",10
2026-08-12,5903,シンポ,シンポ,skip,duplicate,high,kabutan,3
2026-08-12,5905,日本製罐,日カン,skip,duplicate,high,kabutan,3
2026-08-12,5905,日本製罐,日本製缶,skip,duplicate,high,nikkei,3
2026-08-12,5905,日本製罐,日本製罐,skip,duplicate,high,kabutan,3
2026-08-12,5905,日本製罐,日缶,skip,duplicate,high,tdnet,3
2026-08-12,5906,エムケー精工,エムケー精工,skip,duplicate,high,"kabutan,nikkei,tdnet",10
2026-08-12,5909,コロナ,コロナ,skip,duplicate,high,"kabutan,nikkei,tdnet",13
2026-08-12,5911,横河ブリッジﾎｰﾙﾃﾞｨﾝｸﾞｽ,横河ブHD,skip,duplicate,high,"kabutan,tdnet",7
2026-08-12,5911,横河ブリッジﾎｰﾙﾃﾞｨﾝｸﾞｽ,横河ブリッジホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5915,駒井ハルテック,駒井ハルテック,skip,duplicate,high,"kabutan,nikkei,tdnet",13
2026-08-12,5915,駒井ハルテック,駒井ハルテク,skip,duplicate,high,kabutan,3
2026-08-12,5918,瀧上工業,滝上工,skip,duplicate,high,"kabutan,tdnet",7
2026-08-12,5918,瀧上工業,滝上工業,skip,duplicate,high,nikkei,3
2026-08-12,5918,瀧上工業,瀧上工業,skip,duplicate,high,kabutan,3
2026-08-12,5921,川岸工業,川岸工業,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5921,川岸工業,川岸工,skip,duplicate,high,"kabutan,tdnet",5
2026-08-12,5922,那須電機鉄工,那須鉄,skip,duplicate,high,"kabutan,tdnet",9
2026-08-12,5922,那須電機鉄工,那須電機鉄工,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5923,高田機工,高田機工,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5923,高田機工,高田機,skip,duplicate,high,kabutan,3
2026-08-12,5928,アルメタックス,アルメタックス,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5928,アルメタックス,アルメタクス,skip,duplicate,high,kabutan,3
2026-08-12,5929,三和ﾎｰﾙﾃﾞｨﾝｸﾞｽ,三和HD,skip,duplicate,high,"kabutan,tdnet",10
2026-08-12,5929,三和ﾎｰﾙﾃﾞｨﾝｸﾞｽ,三和ホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5930,文化シヤッター,文化シヤッター,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5930,文化シヤッター,文化シヤター,skip,duplicate,high,tdnet,5
2026-08-12,5930,文化シヤッター,文化シヤタ,skip,duplicate,high,kabutan,3
2026-08-12,5932,三協立山,三協立山,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5933,アルインコ,アルインコ,skip,duplicate,high,"kabutan,nikkei,tdnet",15
2026-08-12,5936,東洋シヤッター,東洋シヤッター,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5936,東洋シヤッター,洋シヤター,skip,duplicate,high,tdnet,6
2026-08-12,5936,東洋シヤッター,洋シヤタ,skip,duplicate,high,kabutan,3
2026-08-12,5938,LIXIL,LIXIL,skip,duplicate,high,"kabutan,nikkei,tdnet",10
2026-08-12,5939,大谷工業,大谷工業,skip,duplicate,high,"kabutan,nikkei,tdnet",13
2026-08-12,5940,不二サッシ,不二サッシ,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,5941,中西製作所,中西製作所,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5941,中西製作所,中西製,skip,duplicate,high,kabutan,3
2026-08-12,5942,日本フイルコン,日本フイルコン,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5942,日本フイルコン,フイルコン,skip,duplicate,high,kabutan,3
2026-08-12,5943,ノーリツ,ノーリツ,skip,duplicate,high,"kabutan,nikkei,tdnet",10
2026-08-12,5945,天龍製鋸,天龍製鋸,skip,duplicate,high,"kabutan,nikkei,tdnet",10
2026-08-12,5945,天龍製鋸,天竜製鋸,skip,duplicate,high,kabutan,3
2026-08-12,5946,長府製作所,長府製作所,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5946,長府製作所,長府製,skip,duplicate,high,kabutan,4
2026-08-12,5947,リンナイ,リンナイ,skip,duplicate,high,"kabutan,nikkei,tdnet",10
2026-08-12,5949,ユニプレス,ユニプレス,skip,duplicate,high,"kabutan,nikkei,tdnet",13
2026-08-12,5950,日本パワーファスニング,日本パワーファスニング,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5950,日本パワーファスニング,パワーファス,skip,duplicate,high,kabutan,3
2026-08-12,5951,ダイニチ工業,ダイニチ工業,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5951,ダイニチ工業,ダイニチ工,skip,duplicate,high,tdnet,3
2026-08-12,5952,アマテイ,アマテイ,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5955,ワイズﾎｰﾙﾃﾞｨﾝｸﾞｽ,ワイズHD,skip,duplicate,high,"kabutan,tdnet",7
2026-08-12,5955,ワイズﾎｰﾙﾃﾞｨﾝｸﾞｽ,ワイズホールディングス,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5956,トーソー,トーソー,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5957,日東精工,日東精工,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5957,日東精工,日東精,skip,duplicate,high,kabutan,3
2026-08-12,5958,三洋工業,三洋工,skip,duplicate,high,"kabutan,tdnet",10
2026-08-12,5958,三洋工業,三洋工業,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5959,岡部,岡部,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5962,浅香工業,浅香工業,skip,duplicate,high,"kabutan,nikkei,tdnet",7
2026-08-12,5962,浅香工業,浅香工,skip,duplicate,high,kabutan,3
2026-08-12,5965,フジマック,フジマック,skip,duplicate,high,"kabutan,nikkei",7
2026-08-12,5966,京都機械工具,KTC,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5966,京都機械工具,京都機械工具,skip,duplicate,high,tdnet,3
2026-08-12,5967,TONE,TONE,skip,duplicate,high,"kabutan,nikkei,tdnet",10
2026-08-12,5969,ロブテックス,ロブテックス,skip,duplicate,high,"kabutan,nikkei",9
2026-08-12,5970,ジーテクト,ジーテクト,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5971,共和工業所,共和工業,skip,duplicate,high,"kabutan,tdnet",18
2026-08-12,5971,共和工業所,共和工業所,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5973,トーアミ,トーアミ,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,5974,中国工業,中国工,skip,duplicate,high,"kabutan,tdnet",7
2026-08-12,5974,中国工業,中国工業,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5975,東プレ,東プレ,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,5976,高周波熱錬,ネツレン,skip,duplicate,high,"kabutan,nikkei,tdnet",16
2026-08-12,5976,高周波熱錬,高周波熱錬,skip,duplicate,high,kabutan,3
2026-08-12,5981,東京製綱,東京製綱,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5981,東京製綱,東製綱,skip,duplicate,high,tdnet,6
2026-08-12,5981,東京製綱,東京綱,skip,duplicate,high,kabutan,3
2026-08-12,5982,マルゼン,マルゼン,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,5983,イワブチ,イワブチ,skip,duplicate,high,"kabutan,nikkei",9
2026-08-12,5984,兼房,兼房,skip,duplicate,high,"kabutan,nikkei,tdnet",7
2026-08-12,5985,サンコール,サンコール,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,5986,モリテック スチール,モリテック スチール,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5986,モリテック スチール,モリテック,skip,duplicate,high,kabutan,4
2026-08-12,5987,オーネックス,オーネックス,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5988,パイオラックス,パイオラックス,skip,duplicate,high,"kabutan,nikkei,tdnet",16
